source_path,sanitized_basename,public_url,target_blog_slug,target_blog_path,target_search_intent,author_id,author_email,author_role,reviewer_id,reviewer_email,reviewer_role,disclaimer_key,status
"/media/danezhang/Elements/seo/blog/ebook/The pH miracle for diabetes  the revolutionary diet plan for Type 1 and Type 2 diabetes (Young, Robert O, Shelley Redford) (z-library.sk, 1lib.sk, z-lib.sk).pdf","The-pH-miracle-for-diabetes.pdf","https://download.tangyou.space/20260328/The-pH-miracle-for-diabetes.pdf","ph-miracle-diabetes-prevention","/blog/prevention/diet/ph-miracle-diabetes-prevention","pH奇迹 糖尿病饮食方案 酸碱平衡",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/The pH miracle for diabetes  the revolutionary diet plan for Type 1 and Type 2 diabetes (Young, Robert O, Shelley Redford) (z-library.sk, 1lib.sk, z-lib.sk).pdf","The-pH-miracle-for-diabetes.pdf","https://download.tangyou.space/20260328/The-pH-miracle-for-diabetes.pdf","ph-miracle-diabetes-prevention-en","/blog/prevention/diet/ph-miracle-diabetes-prevention-en","pH miracle diabetes diet plan alkaline acid balance",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Care of Older People with Diabetes A Manual for Healthcare Practice (Alan J. Sinclair, Ahmed H. Abdelhafiz) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Care-of-Older-People-with-Diabetes.pdf","https://download.tangyou.space/20260328/Care-of-Older-People-with-Diabetes.pdf","elderly-diabetes-care-guide-treatment","/blog/treatment/diet/elderly-diabetes-care-guide-treatment","老年糖尿病护理 医疗实践手册",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Care of Older People with Diabetes A Manual for Healthcare Practice (Alan J. Sinclair, Ahmed H. Abdelhafiz) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Care-of-Older-People-with-Diabetes.pdf","https://download.tangyou.space/20260328/Care-of-Older-People-with-Diabetes.pdf","elderly-diabetes-care-guide-treatment-en","/blog/treatment/diet/elderly-diabetes-care-guide-treatment-en","elderly diabetes care guide healthcare practice",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Nutraceuticals in Management and Prevention of Diabetes ( etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Nutraceuticals-in-Management-and-Prevention-of-Diabetes.pdf","https://download.tangyou.space/20260328/Nutraceuticals-in-Management-and-Prevention-of-Diabetes.pdf","nutraceuticals-diabetes-prevention","/blog/prevention/diet/nutraceuticals-diabetes-prevention","营养保健品 糖尿病管理与预防",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Nutraceuticals in Management and Prevention of Diabetes ( etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Nutraceuticals-in-Management-and-Prevention-of-Diabetes.pdf","https://download.tangyou.space/20260328/Nutraceuticals-in-Management-and-Prevention-of-Diabetes.pdf","nutraceuticals-diabetes-prevention-en","/blog/prevention/diet/nutraceuticals-diabetes-prevention-en","nutraceuticals diabetes management prevention guide",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/A Primer for Diabetic Patients (Unknown) (z-library.sk, 1lib.sk, z-lib.sk).pdf","A-Primer-for-Diabetic-Patients.pdf","https://download.tangyou.space/20260328/A-Primer-for-Diabetic-Patients.pdf","diabetic-patients-primer-treatment","/blog/treatment/diet/diabetic-patients-primer-treatment","糖尿病患者入门指南 基础科普",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/A Primer for Diabetic Patients (Unknown) (z-library.sk, 1lib.sk, z-lib.sk).pdf","A-Primer-for-Diabetic-Patients.pdf","https://download.tangyou.space/20260328/A-Primer-for-Diabetic-Patients.pdf","diabetic-patients-primer-treatment-en","/blog/treatment/diet/diabetic-patients-primer-treatment-en","diabetic patients primer guide treatment basics",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Psychology in diabetes care (Snoek, Frank J Skinner, T. Chas) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Psychology-in-diabetes-care.pdf","https://download.tangyou.space/20260328/Psychology-in-diabetes-care.pdf","psychology-diabetes-care-treatment","/blog/treatment/diet/psychology-diabetes-care-treatment","糖尿病心理护理 心理健康管理",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Psychology in diabetes care (Snoek, Frank J Skinner, T. Chas) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Psychology-in-diabetes-care.pdf","https://download.tangyou.space/20260328/Psychology-in-diabetes-care.pdf","psychology-diabetes-care-treatment-en","/blog/treatment/diet/psychology-diabetes-care-treatment-en","psychology diabetes care mental health management",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
